Player,Team,FPTS,FPTS High,FPTS Low,Bye,ADP Rank,POS,ADP,AVG,MODE,MAD,AVG High,AVG Low,Pos,WAR,WAR High,WAR Low,WAR MAD,Rank,Historical WAR,Pos Rank,Overall Rank,Dollar Value,Flex WAR,Flex WAR High,Flex WAR Low,Diff,Tier
Israel Abanikanda,NYJ,12.540000000000003,23.73,5.1,12,529,RB124,397.0,0.7376470588235295,8.790000000000006,0.5170588235294121,1.3958823529411766,0.3,RB,-2.8522845680956177,-2.650777928897445,-2.982820185170019,-2.9184253006786647,119.0,-1.0565068504090531,119.0RB,426.0,1500.0,-3.5859891416538963,-3.357992828431983,-3.7345845713915695,-29.0,15
Sione Vaki,DET,11.57,15.000000000000002,8.54,5,456,RB107,438.5,0.6805882352941177,11.170000000000002,0.6570588235294119,0.8823529411764707,0.5023529411764706,RB,-2.8694602737904784,-2.8085157076685165,-2.922809682875908,-2.876529379916373,120.0,-1.0591270511023696,120.0RB,427.0,1500.0,-3.605500138060815,-3.536324783765189,-3.6661820917513026,11.5,16
Justyn Ross,KC,24.3,24.3,24.3,6,511,WR163,377.0,1.4294117647058824,24.300000000000004,1.4294117647058826,1.4294117647058824,1.4294117647058824,WR,-2.873917038288755,-2.873917038288755,-2.873917038288755,-2.873917038288755,166.0,-1.9754085132323185,166.0WR,428.0,1500.0,-3.3462378529676338,-3.3462378529676338,-3.3462378529676338,-51.0,16
Casey Washington,ATL,24.080000000000002,28.700000000000003,20.05,12,870,WR292,783.0,1.4164705882352941,23.49000000000001,1.3817647058823535,1.6882352941176473,1.1794117647058824,WR,-2.8778704437400733,-2.794348734349868,-2.949865904931147,-2.888460959930907,167.0,-1.987850155744061,167.0WR,429.0,1500.0,-3.350776457400764,-3.2550473631256835,-3.433558489365084,354.0,16
Malik Davis,DAL,10.8,10.8,10.8,7,621,RB147,462.0,0.6352941176470589,10.800000000000004,0.6352941176470591,0.6352941176470589,0.6352941176470589,RB,-2.883061194898316,-2.883061194898316,-2.883061194898316,-2.883061194898316,121.0,-1.0676338456193284,121.0RB,430.0,1500.0,-3.620959060711009,-3.620959060711009,-3.620959060711009,32.0,16
Skyy Moore,KC,23.540000000000003,31.799999999999997,10.629999999999999,6,305,WR96,282.0,1.3847058823529412,28.190000000000012,1.6582352941176477,1.8705882352941174,0.6252941176470588,WR,-2.887564125452462,-2.7377200675016695,-3.1149936226844925,-2.803620109837526,168.0,-1.995318130313374,168.0WR,431.0,1500.0,-3.361908157574168,-3.190326456106595,-3.6243685801534133,-149.0,16
David Moore,CAR,23.07,30.5,12.970000000000002,11,366,WR116,364.0,1.3570588235294119,25.74000000000001,1.514117647058824,1.7941176470588236,0.7629411764705883,WR,-2.8959894907634673,-2.7615246167438188,-3.0743902775076655,-2.847981271755431,169.0,-2.0004811255526214,169.0WR,432.0,1500.0,-3.37158699808617,-3.217514644546085,-3.5773268574792754,-68.0,16
Derius Davis,LAC,22.98,43.47,4.52,5,404,WR128,515.5,1.351764705882353,20.950000000000003,1.2323529411764707,2.557058823529412,0.26588235294117646,WR,-2.897601612549618,-2.5203785565121595,-3.2197082088330595,-2.9338573490291244,170.0,-2.057147984746907,170.0WR,433.0,1500.0,-3.3734393444168624,-2.943281078700151,-3.7460657325765285,82.5,16
Hassan Haskins,LAC,9.85,16.91,3.83,5,805,RB197,698.0,0.5794117647058823,8.809999999999995,0.5182352941176468,0.9947058823529412,0.22529411764705884,RB,-2.8998007543673436,-2.774325631643136,-3.0048247117769282,-2.9180744148302438,122.0,-1.0761767993058229,122.0RB,434.0,1500.0,-3.639996042930446,-3.497584579363729,-3.7597047768638268,264.0,16
Reggie Gilliam,BUF,9.52,9.52,9.52,12,774,RB187,661.0,0.5599999999999999,9.52,0.5599999999999999,0.5599999999999999,0.5599999999999999,RB,-2.905604990325453,-2.905604990325453,-2.905604990325453,-2.905604990325453,123.0,-1.1186628750782053,123.0RB,435.0,1500.0,-3.646599633956757,-3.646599633956757,-3.646599633956757,226.0,16
Equanimeous St. Brown,NO,22.5,22.5,22.5,12,339,WR111,325.0,1.3235294117647058,22.5,1.3235294117647058,1.3235294117647058,1.3235294117647058,WR,-2.9061928268760826,-2.9061928268760826,-2.9061928268760826,-2.9061928268760826,171.0,-2.060517003930559,171.0WR,436.0,1500.0,-3.383312823706974,-3.383312823706974,-3.383312823706974,-111.0,16
