Year,Scoring,Player,Team,ADP Rank,POS,ADP
2026,half,Omar Cooper Jr.,NYJ,227,WR77,210.0
2026,half,Shedeur Sanders,CLE,263,QB35,210.0
2026,half,Dallas Cowboys,DST,203,DST12,210.3
2026,half,Trey Smack,GB,204,K12,211.7
2026,half,Calvin Ridley,TEN,228,WR78,213.0
2026,half,Buffalo Bills,DST,229,DST18,213.0
2026,half,Tyreek Hill,,205,WR67,215.7
2026,half,Devin Singletary,NYG,264,RB73,217.0
2026,half,Will Reichard,MIN,207,K13,217.3
2026,half,New York Giants,DST,231,DST19,217.5
2026,half,Adonai Mitchell,NYJ,232,WR79,218.0
2026,half,James Conner,ARI,209,RB61,218.7
2026,half,Isaac TeSlaa,DET,210,WR69,219.0
2026,half,Jacoby Brissett,ARI,233,QB29,220.0
2026,half,Mike Gesicki,CIN,266,TE31,220.0
2026,half,Chicago Bears,DST,211,DST13,220.7
2026,half,Devaughn Vele,NO,267,WR86,221.0
2026,half,San Francisco 49ers,DST,212,DST14,221.7
2026,half,Detroit Lions,DST,213,DST15,221.7
2026,half,Green Bay Packers,DST,214,DST16,222.0
2026,half,Tre' Harris,LAC,234,WR80,222.0
2026,half,Greg Dulcich,MIA,215,TE28,223.0
2026,half,Chris Boswell,PIT,217,K14,224.0
2026,half,Malik Davis,DAL,269,RB75,224.0
2026,half,Geno Smith,NYJ,235,QB30,224.5
2026,half,Chris Brooks,GB,271,RB77,225.0
2026,half,Nicholas Singleton,TEN,236,RB63,225.5
2026,half,Kimani Vidal,LAC,237,RB64,228.5
2026,half,Odell Beckham Jr.,NYG,272,WR88,230.0
2026,half,Wil Lutz,DEN,238,K17,231.0
2026,half,Tank Dell,HOU,239,WR81,232.0
2026,half,Zavion Thomas,CHI,275,WR90,233.0
2026,half,Kansas City Chiefs,DST,221,DST17,234.0
2026,half,Chase McLaughlin,TB,222,K15,234.0
2026,half,Jaylen Wright,MIA,242,RB65,235.0
2026,half,Tua Tagovailoa,ATL,243,QB31,236.0
2026,half,Tyler Bass,BUF,245,K20,237.5
2026,half,Kaytron Allen,WAS,246,RB66,238.0
2026,half,Cleveland Browns,DST,247,DST20,238.5
2026,half,Pat Bryant,DEN,248,WR82,239.0
2026,half,Jordan James,SF,250,RB67,239.5
2026,half,Ryan Flournoy,DAL,251,WR83,239.5
2026,half,Andy Borregales,NE,230,K16,240.3
2026,half,Ty Johnson,BUF,277,RB79,241.0
2026,half,Gunnar Helm,TEN,254,TE29,244.0
2026,half,Chris Herndon,IV,279,TE33,244.0
2026,half,Zachariah Branch,ATL,255,WR84,245.0
2026,half,Cade Otton,TB,256,TE30,245.0
2026,half,Isaiah McKoy,,280,WR92,246.0
2026,half,Ted Hurst,TB,257,WR85,246.5
2026,half,Cairo Santos,CHI,258,K21,247.0
2026,half,Sean Tucker,TB,260,RB70,248.0
2026,half,Justice Shelton-Mosley,,281,WR93,251.0
2026,half,Mac Jones,SF,282,QB36,251.0
2026,half,Evan Engram,DEN,283,TE34,254.0
2026,half,Je'Quan Burton,,284,WR94,254.0
2026,half,Patrick Taylor Jr.,,285,RB80,255.0
2026,half,Demond Claiborne,MIN,265,RB74,256.5
2026,half,Javon McKinley,,287,WR95,257.0
2026,half,Keon Coleman,BUF,268,WR87,258.0
2026,half,Sammis Reyes,,288,TE36,258.0
2026,half,Seth McGowan,IND,289,RB81,259.0
2026,half,Eli Stowers,PHI,290,TE37,259.0
2026,half,Emanuel Wilson,SEA,270,RB76,259.5
2026,half,McCallan Castles,,291,TE38,261.0
2026,half,Jaydon Blue,PHI,273,RB78,263.0
2026,half,Germie Bernard,PIT,274,WR89,263.0
2026,half,Ollie Gordon,MIA,292,RB82,264.0
2026,half,Blake Watson,,293,RB83,265.0
2026,half,Stephen Hauschka,,294,K22,266.0
2026,half,Samaje Perine,CIN,295,RB84,266.0
2026,half,Colby Parkinson,LAR,276,TE32,267.5
2026,half,Antonio Williams,WAS,278,WR91,268.5
2026,half,Jesse Matthews,,296,WR96,269.0
2026,half,Ethan Conner,,297,TE39,270.0
2026,half,Luke Benson,,298,TE40,271.0
2026,half,Darren Waller,CAR,300,TE41,272.0
2026,half,Ulysses Bentley,IV,301,RB85,275.0
2026,half,Jacob Saylors,DET,302,RB86,275.0
2026,half,Jake Tonges,SF,286,TE35,275.5
2026,half,Tory Horton,SEA,303,WR98,278.0
2026,half,Casey Washington,CAR,304,WR99,279.0
2026,half,Jahan Dotson,ATL,305,WR100,280.0
2026,half,Jack Bech,LV,306,WR101,281.0
2026,half,Theo Johnson,NYG,307,TE42,282.0
2026,half,Darnell Mooney,NYG,299,WR97,283.0
2026,half,Jalen Tolbert,MIA,308,WR102,283.0
2026,half,Jack Westover,WAS,309,TE43,283.0
2026,half,Trey Benson,ARI,310,RB87,284.0
2026,half,Troy Franklin,DEN,311,WR103,285.0
2026,half,Jaylin Noel,HOU,312,WR104,285.0
2026,half,Myles Gaskin,,313,RB88,286.0
2026,half,Spencer Shrader,IND,314,K23,286.0
2026,half,David Wells,,315,TE44,287.0
2026,half,Kendre Miller,NO,316,RB89,288.0
2026,half,DJ Turner,,317,WR105,289.0
2026,half,Emari Demercado,DAL,318,RB90,289.0
2026,half,Brandon Aiyuk,SF,319,WR106,291.0
2026,half,DeMario Douglas,NE,320,WR107,292.0
2026,half,Junior Bergen,,321,WR108,292.0
2026,half,Tavonn Salter,,322,WR109,293.0
2026,half,Brashard Smith,KC,323,RB91,293.0
2026,half,Aaron Shampklin,,324,RB92,296.0
2026,half,Jaaron Hayek,,325,WR110,297.0
2026,half,Jaden Bradley,WAS,326,WR111,298.0
2026,half,Baylor Cupp,,327,TE45,300.0
2026,half,Matt McCrane,,328,K24,301.0
2026,half,Sony Michel,,329,RB93,302.0
2026,half,Carter Bradley,JAC,330,QB37,303.0
2026,half,Caleb Scott,,331,WR112,305.0
2026,half,Ryan Succop,,332,K25,308.0
2026,half,Jon Brown,,333,K26,309.0
2026,half,CJ Williams,JAC,334,WR113,311.0
2026,half,Ryan Griffin,,335,QB38,312.0
2026,half,Ed Lee,,336,WR114,314.0
2026,half,Brandon Hayes,,337,WR115,315.0
2026,half,Tanner Knue,,338,WR116,316.0
2026,half,Tre'Shaun Harrison,,339,WR117,317.0
2026,half,Dylan Drummond,ATL,340,WR118,318.0
2026,half,La'Michael Pettway,,341,TE46,319.0
2026,half,Jalen Reagor,,342,WR119,320.0
2026,half,Kyle Lauletta,,343,QB39,321.0
2026,half,Kody Case,,344,WR120,322.0
2026,half,Kaidon Salter,,345,QB40,324.0
2026,half,Ryan Izzo,,346,TE47,325.0
2026,half,Derek Wright,,347,WR121,326.0
2026,half,Isaac Rex,,348,TE48,327.0
2026,half,Mark Gronowski,,349,QB41,328.0
2026,half,Taylor Bertolet,,350,K27,329.0
2026,ppr,Jahmyr Gibbs,DET,1,RB1,1.0
2026,ppr,Bijan Robinson,ATL,2,RB2,2.0
2026,ppr,Ja'Marr Chase,CIN,3,WR1,3.0
2026,ppr,Puka Nacua,LAR,4,WR2,4.0
2026,ppr,Christian McCaffrey,SF,5,RB3,5.8
2026,ppr,Jaxon Smith-Njigba,SEA,6,WR3,6.0
2026,ppr,Jonathan Taylor,IND,7,RB4,6.2
2026,ppr,Amon-Ra St. Brown,DET,8,WR4,8.2
2026,ppr,James Cook,BUF,9,RB5,8.8
2026,ppr,CeeDee Lamb,DAL,10,WR5,11.2
2026,ppr,De'Von Achane,MIA,11,RB6,11.6
2026,ppr,Justin Jefferson,MIN,12,WR6,12.0
2026,ppr,Chase Brown,CIN,13,RB7,12.8
2026,ppr,Saquon Barkley,PHI,14,RB8,13.8
2026,ppr,Omarion Hampton,LAC,15,RB9,15.4
2026,ppr,Derrick Henry,BAL,16,RB10,16.8
2026,ppr,Kenneth Walker,KC,17,RB11,18.0
2026,ppr,A.J. Brown,NE,18,WR7,18.0
2026,ppr,Ashton Jeanty,LV,19,RB12,18.2
2026,ppr,Drake London,ATL,20,WR8,19.6
2026,ppr,Josh Allen,BUF,21,QB1,22.6
2026,ppr,Brock Bowers,LV,22,TE1,23.2
2026,ppr,George Pickens,DAL,23,WR9,23.6
2026,ppr,Nico Collins,HOU,24,WR10,23.8
2026,ppr,Trey McBride,ARI,25,TE2,24.8
2026,ppr,Chris Olave,NO,26,WR11,25.8
2026,ppr,Malik Nabers,NYG,27,WR12,27.4
2026,ppr,Javonte Williams,DAL,28,RB13,28.4
2026,ppr,Kyren Williams,LAR,29,RB14,28.4
2026,ppr,Jeremiyah Love,ARI,30,RB15,29.2
2026,ppr,Rashee Rice,KC,31,WR13,29.4
2026,ppr,DeVonta Smith,PHI,32,WR14,32.2
2026,ppr,Breece Hall,NYJ,33,RB16,33.6
2026,ppr,Travis Etienne Jr.,NO,34,RB17,36.0
2026,ppr,Zay Flowers,BAL,35,WR15,36.8
2026,ppr,Lamar Jackson,BAL,36,QB2,39.8
2026,ppr,Cam Skattebo,NYG,37,RB18,39.8
2026,ppr,Tetairoa McMillan,CAR,38,WR16,40.0
2026,ppr,Garrett Wilson,NYJ,39,WR17,41.0
2026,ppr,Colston Loveland,CHI,40,TE3,41.2
2026,ppr,Tee Higgins,CIN,41,WR18,41.4
2026,ppr,Emeka Egbuka,TB,42,WR19,41.8
2026,ppr,Ladd McConkey,LAC,43,WR20,42.6
2026,ppr,D'Andre Swift,CHI,44,RB19,42.8
2026,ppr,Quinshon Judkins,CLE,45,RB20,45.4
2026,ppr,Jaylen Waddle,DEN,46,WR21,46.2
2026,ppr,Bucky Irving,TB,47,RB21,46.8
2026,ppr,DJ Moore,BUF,48,WR22,48.4
2026,ppr,David Montgomery,HOU,49,RB22,48.6
2026,ppr,Davante Adams,LAR,50,WR23,49.4
2026,ppr,Tyler Warren,IND,51,TE4,51.6
2026,ppr,Drake Maye,NE,52,QB3,53.0
2026,ppr,Luther Burden,CHI,53,WR24,54.2
2026,ppr,Joe Burrow,CIN,54,QB4,54.6
2026,ppr,Terry McLaurin,WAS,55,WR25,54.8
2026,ppr,Bhayshul Tuten,JAC,56,RB23,56.0
2026,ppr,Jadarian Price,SEA,57,RB24,56.6
2026,ppr,Jameson Williams,DET,58,WR26,57.4
2026,ppr,Rome Odunze,CHI,59,WR27,61.2
2026,ppr,TreVeyon Henderson,NE,60,RB25,62.0
2026,ppr,Jayden Daniels,WAS,61,QB5,63.8
2026,ppr,Jalen Hurts,PHI,62,QB6,64.4
2026,ppr,Parker Washington,JAC,63,WR28,66.2
2026,ppr,Rhamondre Stevenson,NE,64,RB26,67.0
2026,ppr,Christian Watson,GB,65,WR29,67.4
2026,ppr,Harold Fannin Jr.,CLE,66,TE5,67.4
2026,ppr,Mike Evans,SF,67,WR30,68.4
2026,ppr,Jaylen Warren,PIT,68,RB27,71.8
2026,ppr,Tucker Kraft,GB,69,TE6,72.2
2026,ppr,Josh Jacobs,GB,70,RB28,72.6
2026,ppr,Kyle Pitts Sr.,ATL,71,TE7,73.2
2026,ppr,Marvin Harrison Jr.,ARI,72,WR31,73.4
2026,ppr,Sam LaPorta,DET,73,TE8,73.6
2026,ppr,Dak Prescott,DAL,74,QB7,74.6
2026,ppr,Carnell Tate,TEN,75,WR32,74.6
2026,ppr,Tony Pollard,TEN,76,RB29,76.4
2026,ppr,Courtland Sutton,DEN,77,WR33,77.0
2026,ppr,Caleb Williams,CHI,78,QB8,77.8
2026,ppr,Rico Dowdle,PIT,79,RB30,79.6
2026,ppr,DK Metcalf,PIT,80,WR34,80.8
2026,ppr,Jonathon Brooks,CAR,81,RB31,82.6
2026,ppr,George Kittle,SF,82,TE9,84.8
2026,ppr,Justin Herbert,LAC,83,QB9,85.4
2026,ppr,Brian Thomas Jr.,JAC,84,WR35,85.6
2026,ppr,RJ Harvey,DEN,85,RB32,87.6
2026,ppr,Michael Wilson,ARI,86,WR36,88.8
2026,ppr,Chris Godwin Jr.,TB,87,WR37,90.2
2026,ppr,Trevor Lawrence,JAC,88,QB10,90.6
2026,ppr,J.K. Dobbins,DEN,89,RB33,91.2
2026,ppr,Chuba Hubbard,CAR,90,RB34,91.6
2026,ppr,Alec Pierce,IND,91,WR38,96.8
2026,ppr,Travis Kelce,KC,92,TE10,98.8
2026,ppr,Kenny Gainwell,TB,93,RB35,98.8
2026,ppr,Michael Pittman Jr.,PIT,94,WR39,99.6
2026,ppr,Brandon Aubrey,DAL,95,K1,99.8
2026,ppr,Jaxson Dart,NYG,96,QB11,100.0
2026,ppr,Matthew Stafford,LAR,97,QB12,100.0
2026,ppr,Stefon Diggs,WAS,98,WR40,100.4
2026,ppr,Blake Corum,LAR,99,RB36,100.8
2026,ppr,MarShawn Lloyd,GB,100,RB37,101.0
2026,ppr,Houston Texans,DST,101,DST1,102.8
