player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Charlie Kolar,BAL,TE,16,2025,610.0,-1.93,-0.12,-2.88,-0.18
Alex Bachman,LV,WR,12,2025,611.0,-1.94,-0.16,-2.69,-0.22
Jaylin Lane,WAS,WR,15,2025,612.0,-1.95,-0.13,-2.64,-0.18
John Bates,WAS,TE,14,2025,613.0,-1.96,-0.14,-2.84,-0.2
Ben Sinnott,WAS,TE,15,2025,614.0,-1.96,-0.13,-2.88,-0.19
Ryan Miller,NYG,WR,13,2025,615.0,-1.97,-0.15,-2.73,-0.21
John FitzPatrick,GB,TE,15,2025,616.0,-1.98,-0.13,-2.9,-0.19
Dont'e Thornton Jr.,LV,WR,14,2025,617.0,-1.99,-0.14,-2.72,-0.19
Jahan Dotson,PHI,WR,16,2025,618.0,-2.0,-0.12,-2.72,-0.17
Dee Eskridge,MIA,WR,13,2025,619.0,-2.03,-0.16,-2.82,-0.22
Luke Farrell,SF,TE,16,2025,620.0,-2.04,-0.13,-3.02,-0.19
Nick Westbrook-Ikhine,MIA,WR,14,2025,621.0,-2.05,-0.15,-2.8,-0.2
Grant Calcaterra,PHI,TE,14,2025,622.0,-2.05,-0.15,-2.96,-0.21
Adam Thielen,PIT,WR,15,2025,623.0,-2.05,-0.14,-2.79,-0.19
Connor Heyward,PIT,TE,15,2025,624.0,-2.06,-0.14,-3.01,-0.2
David Martin-Robinson,TEN,TE,14,2025,625.0,-2.07,-0.15,-2.99,-0.21
Tai Felton,MIN,WR,13,2025,626.0,-2.07,-0.16,-2.88,-0.22
Drew Sample,CIN,TE,16,2025,627.0,-2.1,-0.13,-3.09,-0.19
Bo Melton,GB,WR,15,2025,628.0,-2.1,-0.14,-2.91,-0.19
Jack Stoll,NO,TE,15,2025,629.0,-2.11,-0.14,-3.08,-0.21
Brycen Tremayne,CAR,WR,15,2025,630.0,-2.11,-0.14,-2.9,-0.19
Mo Alie-Cox,IND,TE,16,2025,631.0,-2.12,-0.13,-3.12,-0.19
Johnny Mundt,JAC,TE,15,2025,632.0,-2.13,-0.14,-3.08,-0.21
Jordan Whittington,LAR,WR,16,2025,633.0,-2.15,-0.13,-2.9,-0.18
Mitch Tinsley,CIN,WR,16,2025,634.0,-2.16,-0.13,-2.97,-0.19
Luke Schoonmaker,DAL,TE,16,2025,635.0,-2.17,-0.14,-3.16,-0.2
Drew Ogletree,IND,TE,15,2025,636.0,-2.18,-0.15,-3.17,-0.21
Ben Skowronek,PIT,WR,15,2025,637.0,-2.22,-0.15,-3.08,-0.21
Nikko Remigio,KC,WR,14,2025,638.0,-2.25,-0.16,-3.13,-0.22
Teagan Quitoriano,ATL,TE,14,2025,639.0,-2.25,-0.16,-3.22,-0.23
Cameron Latu,PHI,TE,14,2025,639.0,-2.25,-0.16,-3.22,-0.23
Brevyn Spann-Ford,DAL,TE,16,2025,641.0,-2.25,-0.14,-3.27,-0.2
Konata Mumpfield,LAR,WR,16,2025,642.0,-2.28,-0.14,-3.13,-0.2
Gunner Olszewski,NYG,WR,15,2025,643.0,-2.3,-0.15,-3.21,-0.21
Kameron Johnson,TB,WR,16,2025,644.0,-2.3,-0.14,-3.25,-0.2
Charlie Jones,CIN,WR,14,2025,645.0,-2.3,-0.16,-3.22,-0.23
Arian Smith,NYJ,WR,15,2025,646.0,-2.3,-0.15,-3.18,-0.21
Charlie Woerner,ATL,TE,16,2025,647.0,-2.36,-0.15,-3.41,-0.21
Blake Whiteheart,CLE,TE,15,2025,648.0,-2.38,-0.16,-3.4,-0.23
Robert Tonyan,KC,TE,15,2025,649.0,-2.4,-0.16,-3.43,-0.23
Skyy Moore,SF,WR,16,2025,650.0,-2.45,-0.15,-3.37,-0.21
Durham Smythe,CHI,TE,16,2025,651.0,-2.47,-0.15,-3.55,-0.22
LaJohntay Wester,BAL,WR,15,2025,652.0,-2.49,-0.17,-3.49,-0.23
Kylen Granson,PHI,TE,16,2025,653.0,-2.51,-0.16,-3.6,-0.22
Payne Durham,TB,TE,16,2025,654.0,-2.54,-0.16,-3.64,-0.23
Chris Manhertz,NYG,TE,16,2025,655.0,-2.55,-0.16,-3.64,-0.23
Devin Duvernay,CHI,WR,16,2025,656.0,-2.57,-0.16,-3.58,-0.22
Myles Price,MIN,WR,16,2025,657.0,-2.7,-0.17,-3.79,-0.24
