Rank,QB WAR,RB WAR,WR WAR,TE WAR
51.0,-0.3282842181852291,0.022517752396469637,0.018551744251564972,-0.5153609274641981
52.0,-0.3381977334775911,0.012019932775510112,0.0019690258885893264,
53.0,-0.3639659768861862,-0.0270815273078015,-0.01823957488117578,
54.0,-0.38305097770723234,-0.034313387353806846,-0.041686448632949014,
54.5,,,,-0.5174756364660573
55.0,-0.38718933816734546,-0.06048786029559394,-0.06115533996029987,
56.0,-0.38995191401304163,-0.06308161929959066,-0.11076820914805602,
57.0,-0.4060610775145448,-0.06998369090112277,-0.14438169173026805,
58.0,-0.5255391394329186,-0.08851589351715788,-0.16309999707632572,-0.5549076007931515
59.0,-0.537889708919825,-0.1032209859527537,,-0.564530612555186
60.0,-0.5618650420956897,-0.10520073779234834,,-0.5883719666830032
61.0,-0.5652035000490354,-0.10784221470918093,,-0.5911991360780295
62.0,-0.56741370537313,-0.11300698720220992,,-0.597251422523085
63.0,-0.5719469195886051,,,-0.6311461635006528
64.0,-0.5725243847884789,,,-0.6631000934340587
65.0,-0.5740367877862644,,,-0.664757108311834
66.0,-0.583975315751694,,,-0.6654703069451211
67.0,-0.5947380437775662,,,-0.6899675152880764
67.5,,,-0.16424674646480064,
68.0,-0.6618769752525013,,,-0.7768922811935861
69.0,-0.6739571329560553,,,-0.8066991306325548
70.0,-0.6828302252853833,-0.11553061439303791,,-0.8126965432047357
71.0,-0.7517185600680932,,,-0.8147832475530596
72.0,-0.7620619523651331,,,-0.8379621857671402
73.0,-0.7798344451395081,,,-0.8384146586380776
74.0,-0.7810049284011018,,,-0.8508966645691445
75.0,-0.7824078849902061,,,
76.0,-0.784114368103763,,,-0.8624593941100955
77.0,-0.7898268447659,,-0.18923214646373915,
78.0,-0.7906382429153267,-0.13532345875484492,-0.23318281831458232,-0.8996416107070178
79.0,-0.8698672568593342,-0.17154643143659748,-0.23404838250975163,-0.9448416924167131
80.0,-0.9586285456104029,-0.17241815337217842,-0.24835818911900714,-0.9858815739457871
81.0,-0.9723328863714883,-0.17246164530335029,-0.26171686148693274,-0.993134230122367
82.0,-1.1255533286825652,-0.19027108185558717,-0.2825712396347002,-1.0244031251690173
83.0,-2.13802331152037,-0.19816386704497635,-0.3063831329651669,-1.0328080251969962
84.0,,-0.2166948488505812,,-1.0349512729321146
85.0,,-0.21795784803374735,,-1.0619339956205147
86.0,,-0.22362321164904053,,-1.0634260273767466
86.5,,,-0.3284934929296013,
87.0,,-0.22856671240805831,,-1.0885635636948594
88.0,,,,-1.1111322016557112
89.0,,,,-1.122223506395094
89.5,,-0.23106122878607582,,
90.0,,,-0.32966362179418834,-1.1673740839204334
91.0,,,-0.34307975507667793,-1.178786238279839
92.0,,-0.24392480486502943,-0.34949230471338133,-1.1999968553004734
93.0,,-0.26211157930751616,-0.3512930164776931,-1.2371903646527431
94.0,,-0.26497622958589895,-0.35166560624861626,-1.2527307867037045
95.0,,-0.26927415963248214,-0.3746948246248545,-1.2562165811038315
96.0,,-0.284554447107905,-0.3789055487345606,-1.2722448441706509
97.0,,-0.2922001936400903,-0.43912413060639477,-1.317986215969656
98.0,,-0.3107152375312486,-0.45049703343551145,-1.325278045435272
99.0,,-0.3210226025400381,-0.4567964601769462,-1.3534137826077455
100.0,,-0.33890344349525675,-0.46275711018829246,-1.458283041524574
101.0,,,-0.481460350181461,-1.5275288382231818
102.0,,-0.34659184317911373,,-1.5513255702853705
102.5,,,-0.4927402393944019,
103.0,,,,-1.552426909398172
104.0,,-0.34790517252120795,-0.4969205795062881,-1.563985411644077
105.0,,-0.34907653618976625,-0.5065878982248121,-1.609373091914456
106.0,,-0.35582064841004996,-0.5075926674443447,-1.6280371573438994
107.0,,-0.37322370707188146,-0.5241524809846229,-1.657498085882326
108.0,,-0.42726972912884825,-0.5390305848914037,-1.6603444256292674
109.0,,-0.4336521928637993,-0.5937358031728133,-1.67206963469043
110.0,,-0.43402983595002154,-0.602390835190174,-1.6773025044392462
111.0,,-0.4344381378192838,-0.6205503565490311,-1.6861663813177756
112.0,,-0.43651153691168265,-0.6243890879739131,-1.7017997127822015
113.0,,-0.44935753010224955,-0.6254216367817265,-1.7369701010634857
114.0,,-0.4639701307392644,,-1.7385142714637856
115.0,,-0.467468600215091,-0.6569869858592026,-1.7679006235140735
116.0,,-0.5074186421254696,,-1.8266054752058358
117.0,,-0.5147481200667939,-0.6742216630431014,-1.8497744285169637
118.0,,-0.5188578846508822,-0.6744987638306026,-1.8701272249576781
