player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Isaiah Likely,BAL,TE,13,2025,462.0,-0.94,-0.07,-1.65,-0.13
Tanner Hudson,CIN,TE,12,2025,463.0,-0.94,-0.08,-1.59,-0.13
Devaughn Vele,NO,WR,13,2025,464.0,-0.95,-0.07,-1.39,-0.11
Drew Lock,SEA,QB,5,2025,465.0,-0.96,-0.19,,
Xavier Gipson,NYG,WR,6,2025,466.0,-0.96,-0.16,-1.32,-0.22
Brock Wright,DET,TE,11,2025,467.0,-0.96,-0.09,-1.58,-0.14
C.J. Ham,MIN,RB,10,2025,468.0,-0.96,-0.1,-1.93,-0.19
Kaleb Johnson,PIT,RB,10,2025,469.0,-0.96,-0.1,-1.92,-0.19
Elijah Moore,DEN,WR,9,2025,470.0,-0.97,-0.11,-1.31,-0.15
Dante Pettis,NO,WR,7,2025,471.0,-0.97,-0.14,-1.32,-0.19
Dontayvion Wicks,GB,WR,14,2025,472.0,-0.98,-0.07,-1.49,-0.11
Brashard Smith,KC,RB,16,2025,473.0,-0.98,-0.06,-2.29,-0.14
Stone Smartt,NYJ,TE,8,2025,474.0,-0.98,-0.12,-1.48,-0.18
Cedric Tillman,CLE,WR,12,2025,475.0,-0.99,-0.08,-1.36,-0.11
Tank Bigsby,PHI,RB,15,2025,476.0,-1.0,-0.07,-2.29,-0.15
Joshua Palmer,BUF,WR,11,2025,477.0,-1.0,-0.09,-1.33,-0.12
DeMario Douglas,NE,WR,16,2025,478.0,-1.0,-0.06,-1.46,-0.09
Kyle Juszczyk,SF,RB,16,2025,479.0,-1.02,-0.06,-2.32,-0.14
Matthew Golden,GB,WR,13,2025,480.0,-1.02,-0.08,-1.39,-0.11
Darnell Mooney,ATL,WR,14,2025,481.0,-1.03,-0.07,-1.4,-0.1
Tyler Goodson,IND,RB,10,2025,482.0,-1.03,-0.1,-2.03,-0.2
Marvin Mims Jr.,DEN,WR,15,2025,483.0,-1.03,-0.07,-1.49,-0.1
Christian Kirk,HOU,WR,12,2025,484.0,-1.05,-0.09,-1.44,-0.12
Tanner Conner,NYG,TE,9,2025,485.0,-1.05,-0.12,-1.59,-0.18
Tyler Conklin,LAC,TE,9,2025,486.0,-1.05,-0.12,-1.59,-0.18
Brenden Bates,CLE,TE,8,2025,487.0,-1.05,-0.13,-1.56,-0.19
Josh Oliver,MIN,TE,14,2025,488.0,-1.05,-0.08,-1.85,-0.13
Ja'Tavion Sanders,CAR,TE,13,2025,489.0,-1.06,-0.08,-1.78,-0.14
Marquez Valdes-Scantling,PIT,WR,9,2025,490.0,-1.06,-0.12,-1.44,-0.16
Cody White,SEA,WR,9,2025,491.0,-1.07,-0.12,-1.48,-0.16
Devontez Walker,BAL,WR,10,2025,492.0,-1.08,-0.11,-1.52,-0.15
Xavier Weaver,ARI,WR,8,2025,493.0,-1.08,-0.13,-1.45,-0.18
Simi Fehoko,ARI,WR,7,2025,494.0,-1.08,-0.15,-1.48,-0.21
Malik Washington,MIA,WR,16,2025,495.0,-1.09,-0.07,-1.46,-0.09
James Proche II,TEN,WR,8,2025,496.0,-1.09,-0.14,-1.49,-0.19
Max Brosmer,MIN,QB,6,2025,497.0,-1.11,-0.18,,
Zaire Mitchell-Paden,NO,TE,8,2025,498.0,-1.11,-0.14,-1.63,-0.2
Andrei Iosivas,CIN,WR,16,2025,499.0,-1.11,-0.07,-1.57,-0.1
Dylan Drummond,ATL,WR,8,2025,500.0,-1.11,-0.14,-1.51,-0.19
Ben Sims,MIN,TE,8,2025,501.0,-1.12,-0.14,-1.64,-0.21
Olamide Zaccheaus,CHI,WR,15,2025,502.0,-1.12,-0.07,-1.54,-0.1
Jalin Hyatt,NYG,WR,8,2025,503.0,-1.14,-0.14,-1.55,-0.19
Dareke Young,SEA,WR,8,2025,504.0,-1.14,-0.14,-1.55,-0.19
Jamari Thrash,CLE,WR,9,2025,505.0,-1.15,-0.13,-1.53,-0.17
Xavier Hutchinson,HOU,WR,16,2025,506.0,-1.15,-0.07,-1.63,-0.1
Darnell Washington,PIT,TE,16,2025,507.0,-1.15,-0.07,-2.0,-0.13
Jacob Saylors,DET,RB,11,2025,508.0,-1.18,-0.11,-2.3,-0.21
Pat Bryant,DEN,WR,14,2025,509.0,-1.18,-0.08,-1.6,-0.11
Isaac TeSlaa,DET,WR,16,2025,510.0,-1.18,-0.07,-1.69,-0.11
Rasheen Ali,BAL,RB,14,2025,511.0,-1.18,-0.08,-2.48,-0.18
Austin Hooper,NE,TE,15,2025,512.0,-1.19,-0.08,-2.0,-0.13
Hassan Haskins,LAC,RB,12,2025,513.0,-1.19,-0.1,-2.36,-0.2
Patrick Ricard,BAL,RB,11,2025,514.0,-1.19,-0.11,-2.32,-0.21
Rashod Bateman,BAL,WR,13,2025,515.0,-1.19,-0.09,-1.65,-0.13
Robbie Ouzts,SEA,RB,11,2025,516.0,-1.19,-0.11,-2.33,-0.21
KeAndre Lambert-Smith,LAC,WR,9,2025,517.0,-1.21,-0.13,-1.65,-0.18
Jalen Tolbert,DAL,WR,12,2025,518.0,-1.21,-0.1,-1.65,-0.14
Tahj Brooks,CIN,RB,12,2025,519.0,-1.21,-0.1,-2.4,-0.2
Taysom Hill,NO,TE,12,2025,520.0,-1.23,-0.1,-1.92,-0.16
Laquon Treadwell,IND,WR,8,2025,521.0,-1.24,-0.15,-1.69,-0.21
Dominic Lovett,DET,WR,8,2025,521.0,-1.24,-0.15,-1.69,-0.21
Allen Lazard,FA,WR,10,2025,523.0,-1.24,-0.12,-1.68,-0.17
