player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Taysom Hill,NO,TE,12,2025,532.0,-1.41,-0.12,-1.94,-0.16,-2.09,-0.17
Will Shipley,PHI,RB,14,2025,533.0,-1.42,-0.1,-2.67,-0.19,-2.88,-0.21
Elijah Arroyo,SEA,TE,13,2025,534.0,-1.42,-0.11,-1.98,-0.15,-2.14,-0.16
Beaux Collins,NYG,WR,9,2025,535.0,-1.42,-0.16,-1.81,-0.2,-1.95,-0.22
Nick Kallerup,SEA,TE,9,2025,536.0,-1.44,-0.16,-1.89,-0.21,-2.04,-0.23
Davis Allen,LAR,TE,16,2025,537.0,-1.44,-0.09,-2.1,-0.13,-2.25,-0.14
Colson Yankoff,WAS,RB,13,2025,538.0,-1.45,-0.11,-2.66,-0.2,-2.87,-0.22
Chris Brooks,GB,RB,16,2025,539.0,-1.47,-0.09,-2.86,-0.18,-3.07,-0.19
Kalif Raymond,DET,WR,14,2025,540.0,-1.48,-0.11,-1.84,-0.13,-2.0,-0.14
Daniel Bellinger,NYG,TE,15,2025,541.0,-1.48,-0.1,-2.14,-0.14,-2.33,-0.16
LeQuint Allen Jr.,JAC,RB,16,2025,542.0,-1.51,-0.09,-2.9,-0.18,-3.12,-0.2
Dyami Brown,JAC,WR,14,2025,543.0,-1.51,-0.11,-1.91,-0.14,-2.08,-0.15
Dare Ogunbowale,HOU,RB,16,2025,544.0,-1.52,-0.09,-2.93,-0.18,-3.15,-0.2
Ashton Dulin,IND,WR,11,2025,545.0,-1.53,-0.14,-1.91,-0.17,-2.06,-0.19
Eric Saubert,SEA,TE,10,2025,546.0,-1.53,-0.15,-2.02,-0.2,-2.18,-0.22
Tucker Fisk,LAC,TE,10,2025,547.0,-1.54,-0.15,-2.03,-0.2,-2.19,-0.22
Chris Moore,WAS,WR,13,2025,548.0,-1.54,-0.12,-1.93,-0.15,-2.08,-0.16
JuJu Smith-Schuster,KC,WR,16,2025,549.0,-1.54,-0.1,-1.9,-0.12,-2.05,-0.13
Foster Moreau,NO,TE,11,2025,550.0,-1.55,-0.14,-2.07,-0.19,-2.23,-0.2
Jaylin Noel,HOU,WR,16,2025,551.0,-1.55,-0.1,-1.94,-0.12,-2.12,-0.13
Ross Dwelley,CAR,TE,10,2025,552.0,-1.56,-0.16,-2.05,-0.21,-2.21,-0.22
Scott Matlock,LAC,RB,15,2025,553.0,-1.56,-0.1,-2.93,-0.2,-3.16,-0.21
Carter Runyon,LV,TE,10,2025,554.0,-1.58,-0.16,-2.08,-0.21,-2.24,-0.22
Van Jefferson,TEN,WR,16,2025,555.0,-1.58,-0.1,-1.93,-0.12,-2.08,-0.13
Jake Bobo,SEA,WR,10,2025,556.0,-1.59,-0.16,-2.03,-0.2,-2.19,-0.22
Elijah Higgins,ARI,TE,16,2025,557.0,-1.6,-0.1,-2.29,-0.14,-2.47,-0.15
DeAndre Hopkins,BAL,WR,16,2025,558.0,-1.6,-0.1,-1.97,-0.12,-2.13,-0.13
Malik Heath,ATL,WR,11,2025,559.0,-1.61,-0.15,-2.03,-0.18,-2.18,-0.2
Tim Patrick,JAC,WR,15,2025,560.0,-1.61,-0.11,-2.06,-0.14,-2.25,-0.15
Andrew Beck,NYJ,RB,16,2025,561.0,-1.62,-0.1,-3.05,-0.19,-3.29,-0.21
Julian Hill,MIA,TE,13,2025,562.0,-1.62,-0.12,-2.2,-0.17,-2.37,-0.18
Devin Culp,TB,TE,11,2025,563.0,-1.62,-0.15,-2.15,-0.2,-2.32,-0.21
Savion Williams,GB,WR,12,2025,564.0,-1.62,-0.13,-2.02,-0.17,-2.18,-0.18
Tommy Tremble,CAR,TE,16,2025,565.0,-1.62,-0.1,-2.31,-0.14,-2.5,-0.16
Jimmy Horn Jr.,CAR,WR,12,2025,566.0,-1.62,-0.14,-2.02,-0.17,-2.17,-0.18
Adam Prentice,DEN,RB,16,2025,567.0,-1.63,-0.1,-3.06,-0.19,-3.3,-0.21
Malachi Corley,CLE,WR,12,2025,568.0,-1.63,-0.14,-2.03,-0.17,-2.18,-0.18
Roman Wilson,PIT,WR,14,2025,569.0,-1.64,-0.12,-2.1,-0.15,-2.29,-0.16
Derius Davis,LAC,WR,10,2025,570.0,-1.64,-0.16,-2.1,-0.21,-2.27,-0.23
Ke'Shawn Williams,CIN,WR,10,2025,571.0,-1.64,-0.16,-2.1,-0.21,-2.27,-0.23
Jackson Hawes,BUF,TE,16,2025,572.0,-1.65,-0.1,-2.33,-0.15,-2.51,-0.16
Tyler Lockett,LV,WR,16,2025,573.0,-1.65,-0.1,-2.02,-0.13,-2.17,-0.14
Alec Ingold,MIA,RB,16,2025,574.0,-1.67,-0.1,-3.12,-0.2,-3.37,-0.21
Trevor Etienne,CAR,RB,16,2025,575.0,-1.68,-0.11,-3.14,-0.2,-3.38,-0.21
Isaiah Williams,NYJ,WR,14,2025,576.0,-1.69,-0.12,-2.11,-0.15,-2.29,-0.16
Tre Harris,LAC,WR,16,2025,577.0,-1.69,-0.11,-2.06,-0.13,-2.21,-0.14
Brandin Cooks,BUF,WR,15,2025,578.0,-1.69,-0.11,-2.09,-0.14,-2.26,-0.15
Luke Musgrave,GB,TE,16,2025,579.0,-1.7,-0.11,-2.38,-0.15,-2.56,-0.16
Isaiah Bond,CLE,WR,15,2025,580.0,-1.7,-0.11,-2.1,-0.14,-2.26,-0.15
Harrison Bryant,HOU,TE,11,2025,581.0,-1.72,-0.16,-2.26,-0.21,-2.44,-0.22
KhaDarel Hodge,ATL,WR,11,2025,582.0,-1.72,-0.16,-2.19,-0.2,-2.36,-0.21
Mitchell Evans,CAR,TE,16,2025,583.0,-1.72,-0.11,-2.42,-0.15,-2.61,-0.16
Josiah Deguara,ARI,TE,11,2025,584.0,-1.73,-0.16,-2.28,-0.21,-2.46,-0.22
Brady Russell,SEA,RB,15,2025,585.0,-1.73,-0.12,-3.15,-0.21,-3.4,-0.23
Ben Yurosek,MIN,TE,11,2025,586.0,-1.73,-0.16,-2.28,-0.21,-2.46,-0.22
Feleipe Franks,ATL,TE,11,2025,587.0,-1.75,-0.16,-2.3,-0.21,-2.49,-0.23
Jeremy Ruckert,NYJ,TE,16,2025,588.0,-1.75,-0.11,-2.44,-0.15,-2.62,-0.16
Quintin Morris,JAC,TE,12,2025,589.0,-1.76,-0.15,-2.33,-0.19,-2.51,-0.21
Xavier Smith,LAR,WR,15,2025,590.0,-1.76,-0.12,-2.19,-0.15,-2.36,-0.16
Adam Trautman,DEN,TE,16,2025,591.0,-1.76,-0.11,-2.45,-0.15,-2.64,-0.17
Dylan Laube,LV,RB,16,2025,592.0,-1.77,-0.11,-3.25,-0.2,-3.51,-0.22
Anthony Gould,IND,WR,11,2025,593.0,-1.78,-0.16,-2.26,-0.21,-2.44,-0.22
Julius Chestnut,TEN,RB,16,2025,594.0,-1.79,-0.11,-3.29,-0.21,-3.55,-0.22
Scotty Miller,PIT,WR,12,2025,595.0,-1.8,-0.15,-2.28,-0.19,-2.46,-0.2
Gage Larvadain,CLE,WR,12,2025,596.0,-1.81,-0.15,-2.29,-0.19,-2.46,-0.21
Darius Cooper,PHI,WR,12,2025,597.0,-1.81,-0.15,-2.29,-0.19,-2.47,-0.21
Ian Thomas,LV,TE,14,2025,598.0,-1.82,-0.13,-2.46,-0.18,-2.65,-0.19
Kyle Williams,NE,WR,16,2025,599.0,-1.83,-0.11,-2.31,-0.14,-2.51,-0.16
Jamal Agnew,FA,WR,11,2025,600.0,-1.83,-0.17,-2.34,-0.21,-2.53,-0.23
Reggie Gilliam,BUF,RB,16,2025,601.0,-1.83,-0.11,-3.34,-0.21,-3.6,-0.23
Mason Tipton,NO,WR,13,2025,602.0,-1.84,-0.14,-2.32,-0.18,-2.5,-0.19
Jack Westover,NE,RB,16,2025,603.0,-1.85,-0.12,-3.36,-0.21,-3.63,-0.23
Noah Gray,KC,TE,15,2025,604.0,-1.85,-0.12,-2.52,-0.17,-2.71,-0.18
Jack Bech,LV,WR,15,2025,605.0,-1.85,-0.12,-2.3,-0.15,-2.48,-0.17
David Sills V,ATL,WR,16,2025,606.0,-1.88,-0.12,-2.36,-0.15,-2.56,-0.16
Tyrell Shavers,BUF,WR,16,2025,607.0,-1.89,-0.12,-2.4,-0.15,-2.61,-0.16
Trent Sherfield Sr.,ARI,WR,12,2025,608.0,-1.91,-0.16,-2.43,-0.2,-2.62,-0.22
Tylan Wallace,BAL,WR,13,2025,609.0,-1.91,-0.15,-2.43,-0.19,-2.62,-0.2
Charlie Kolar,BAL,TE,16,2025,610.0,-1.91,-0.12,-2.63,-0.16,-2.84,-0.18
Alex Bachman,LV,WR,12,2025,611.0,-1.93,-0.16,-2.46,-0.21,-2.66,-0.22
John Bates,WAS,TE,14,2025,612.0,-1.95,-0.14,-2.6,-0.19,-2.8,-0.2
Jaylin Lane,WAS,WR,15,2025,613.0,-1.95,-0.13,-2.42,-0.16,-2.6,-0.17
Ben Sinnott,WAS,TE,15,2025,614.0,-1.95,-0.13,-2.64,-0.18,-2.84,-0.19
John FitzPatrick,GB,TE,15,2025,615.0,-1.96,-0.13,-2.65,-0.18,-2.86,-0.19
Ryan Miller,NYG,WR,13,2025,616.0,-1.96,-0.15,-2.49,-0.19,-2.69,-0.21
Dont'e Thornton Jr.,LV,WR,14,2025,617.0,-1.98,-0.14,-2.49,-0.18,-2.68,-0.19
Jahan Dotson,PHI,WR,16,2025,618.0,-1.99,-0.12,-2.48,-0.16,-2.68,-0.17
Luke Farrell,SF,TE,16,2025,619.0,-2.03,-0.13,-2.76,-0.17,-2.98,-0.19
Dee Eskridge,MIA,WR,13,2025,620.0,-2.03,-0.16,-2.57,-0.2,-2.78,-0.21
Grant Calcaterra,PHI,TE,14,2025,621.0,-2.04,-0.15,-2.71,-0.19,-2.92,-0.21
Nick Westbrook-Ikhine,MIA,WR,14,2025,622.0,-2.04,-0.15,-2.56,-0.18,-2.76,-0.2
Connor Heyward,PIT,TE,15,2025,623.0,-2.05,-0.14,-2.75,-0.18,-2.97,-0.2
Adam Thielen,PIT,WR,15,2025,624.0,-2.05,-0.14,-2.56,-0.17,-2.75,-0.18
David Martin-Robinson,TEN,TE,14,2025,625.0,-2.05,-0.15,-2.73,-0.19,-2.95,-0.21
Tai Felton,MIN,WR,13,2025,626.0,-2.07,-0.16,-2.63,-0.2,-2.84,-0.22
Drew Sample,CIN,TE,16,2025,627.0,-2.08,-0.13,-2.82,-0.18,-3.04,-0.19
Jack Stoll,NO,TE,15,2025,628.0,-2.1,-0.14,-2.81,-0.19,-3.04,-0.2
Bo Melton,GB,WR,15,2025,629.0,-2.1,-0.14,-2.65,-0.18,-2.86,-0.19
Mo Alie-Cox,IND,TE,16,2025,630.0,-2.1,-0.13,-2.85,-0.18,-3.07,-0.19
Brycen Tremayne,CAR,WR,15,2025,631.0,-2.11,-0.14,-2.65,-0.18,-2.85,-0.19
Johnny Mundt,JAC,TE,15,2025,632.0,-2.11,-0.14,-2.82,-0.19,-3.04,-0.2
Jordan Whittington,LAR,WR,16,2025,633.0,-2.14,-0.13,-2.66,-0.17,-2.86,-0.18
Luke Schoonmaker,DAL,TE,16,2025,634.0,-2.15,-0.13,-2.89,-0.18,-3.11,-0.19
Mitch Tinsley,CIN,WR,16,2025,635.0,-2.15,-0.13,-2.71,-0.17,-2.93,-0.18
Drew Ogletree,IND,TE,15,2025,636.0,-2.17,-0.14,-2.89,-0.19,-3.12,-0.21
Ben Skowronek,PIT,WR,15,2025,637.0,-2.22,-0.15,-2.81,-0.19,-3.03,-0.2
Brevyn Spann-Ford,DAL,TE,16,2025,638.0,-2.24,-0.14,-2.99,-0.19,-3.23,-0.2
Cameron Latu,PHI,TE,14,2025,639.0,-2.24,-0.16,-2.94,-0.21,-3.17,-0.23
Teagan Quitoriano,ATL,TE,14,2025,639.0,-2.24,-0.16,-2.94,-0.21,-3.17,-0.23
Nikko Remigio,KC,WR,14,2025,641.0,-2.25,-0.16,-2.86,-0.2,-3.09,-0.22
Konata Mumpfield,LAR,WR,16,2025,642.0,-2.27,-0.14,-2.86,-0.18,-3.08,-0.19
Gunner Olszewski,NYG,WR,15,2025,643.0,-2.3,-0.15,-2.93,-0.2,-3.16,-0.21
Arian Smith,NYJ,WR,15,2025,644.0,-2.3,-0.15,-2.91,-0.19,-3.13,-0.21
Kameron Johnson,TB,WR,16,2025,645.0,-2.3,-0.14,-2.96,-0.18,-3.21,-0.2
Charlie Jones,CIN,WR,14,2025,646.0,-2.3,-0.16,-2.94,-0.21,-3.17,-0.23
Charlie Woerner,ATL,TE,16,2025,647.0,-2.34,-0.15,-3.12,-0.19,-3.36,-0.21
Blake Whiteheart,CLE,TE,15,2025,648.0,-2.36,-0.16,-3.11,-0.21,-3.35,-0.22
Robert Tonyan,KC,TE,15,2025,649.0,-2.38,-0.16,-3.13,-0.21,-3.38,-0.23
Skyy Moore,SF,WR,16,2025,650.0,-2.44,-0.15,-3.08,-0.19,-3.32,-0.21
Durham Smythe,CHI,TE,16,2025,651.0,-2.46,-0.15,-3.24,-0.2,-3.5,-0.22
LaJohntay Wester,BAL,WR,15,2025,652.0,-2.48,-0.17,-3.18,-0.21,-3.44,-0.23
Kylen Granson,PHI,TE,16,2025,653.0,-2.49,-0.16,-3.29,-0.21,-3.55,-0.22
Payne Durham,TB,TE,16,2025,654.0,-2.52,-0.16,-3.32,-0.21,-3.59,-0.22
Chris Manhertz,NYG,TE,16,2025,655.0,-2.53,-0.16,-3.33,-0.21,-3.59,-0.22
Devin Duvernay,CHI,WR,16,2025,656.0,-2.57,-0.16,-3.27,-0.2,-3.53,-0.22
Myles Price,MIN,WR,16,2025,657.0,-2.69,-0.17,-3.46,-0.22,-3.74,-0.23
