player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Jordan Love,GB,QB,15,2025,94.0,0.82,0.05,2.11,0.14,,
Rome Odunze,CHI,WR,12,2025,95.0,0.8,0.07,0.74,0.06,0.64,0.05
Sam LaPorta,DET,TE,9,2025,96.0,0.79,0.09,0.51,0.06,0.46,0.05
Aaron Jones Sr.,MIN,RB,12,2025,97.0,0.77,0.06,0.09,0.01,0.04,0.0
Jacory Croskey-Merritt,WAS,RB,16,2025,98.0,0.72,0.04,-0.36,-0.02,-0.5,-0.03
Kareem Hunt,KC,RB,16,2025,99.0,0.71,0.04,-0.3,-0.02,-0.4,-0.03
Kyle Monangai,CHI,RB,16,2025,100.0,0.71,0.04,-0.31,-0.02,-0.43,-0.03
Dalton Kincaid,BUF,TE,11,2025,101.0,0.71,0.06,0.35,0.03,0.28,0.03
Ladd McConkey,LAC,WR,16,2025,102.0,0.69,0.04,0.71,0.04,0.61,0.04
Jauan Jennings,SF,WR,14,2025,103.0,0.68,0.05,0.76,0.05,0.69,0.05
Justin Jefferson,MIN,WR,16,2025,104.0,0.67,0.04,0.74,0.05,0.67,0.04
Chuba Hubbard,CAR,RB,14,2025,105.0,0.62,0.04,-0.27,-0.02,-0.36,-0.03
Rachaad White,TB,RB,16,2025,106.0,0.61,0.04,-0.39,-0.02,-0.49,-0.03
Joe Burrow,CIN,QB,7,2025,107.0,0.55,0.08,1.1,0.16,,
Alvin Kamara,NO,RB,11,2025,108.0,0.55,0.05,-0.1,-0.01,-0.15,-0.01
Alec Pierce,IND,WR,14,2025,109.0,0.53,0.04,0.52,0.04,0.44,0.03
Justin Fields,NYJ,QB,9,2025,110.0,0.49,0.05,1.1,0.12,,
C.J. Stroud,HOU,QB,13,2025,111.0,0.48,0.04,1.6,0.12,,
Troy Franklin,DEN,WR,16,2025,112.0,0.48,0.03,0.42,0.03,0.31,0.02
Jayden Daniels,WAS,QB,7,2025,113.0,0.47,0.07,1.14,0.16,,
Zach Ertz,WAS,TE,13,2025,114.0,0.46,0.04,0.03,0.0,-0.05,-0.0
Sam Darnold,SEA,QB,16,2025,115.0,0.46,0.03,1.68,0.1,,
Tyjae Spears,TEN,RB,12,2025,116.0,0.45,0.04,-0.3,-0.03,-0.38,-0.03
Keenan Allen,LAC,WR,16,2025,117.0,0.45,0.03,0.42,0.03,0.32,0.02
Jakobi Meyers,JAC,WR,15,2025,118.0,0.44,0.03,0.53,0.04,0.48,0.03
Colston Loveland,CHI,TE,15,2025,119.0,0.44,0.03,-0.1,-0.01,-0.22,-0.01
Darren Waller,MIA,TE,9,2025,120.0,0.43,0.05,0.1,0.01,0.02,0.0
Malik Nabers,NYG,WR,4,2025,121.0,0.43,0.11,0.32,0.08,0.26,0.07
DJ Moore,CHI,WR,16,2025,122.0,0.4,0.02,0.31,0.02,0.19,0.01
Jordan Mason,MIN,RB,15,2025,123.0,0.4,0.03,-0.57,-0.04,-0.67,-0.04
