player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Scotty Miller,PIT,WR,12,2025,609.0,-1.53,-0.13,-2.09,-0.17
Jack Stoll,NO,TE,15,2025,610.0,-1.53,-0.1,-2.5,-0.17
Dylan Laube,LV,RB,16,2025,611.0,-1.53,-0.1,-2.91,-0.18
Tylan Wallace,BAL,WR,13,2025,612.0,-1.53,-0.12,-2.13,-0.16
Mo Alie-Cox,IND,TE,16,2025,613.0,-1.54,-0.1,-2.56,-0.16
Drew Sample,CIN,TE,16,2025,614.0,-1.55,-0.1,-2.56,-0.16
Grant Calcaterra,PHI,TE,14,2025,615.0,-1.55,-0.11,-2.46,-0.18
Ryan Miller,NYG,WR,13,2025,616.0,-1.56,-0.12,-2.16,-0.17
Reggie Gilliam,BUF,RB,16,2025,617.0,-1.57,-0.1,-2.97,-0.19
Jack Westover,NE,RB,16,2025,618.0,-1.57,-0.1,-2.98,-0.19
Jahan Dotson,PHI,WR,16,2025,619.0,-1.58,-0.1,-2.21,-0.14
Drew Ogletree,IND,TE,15,2025,620.0,-1.58,-0.11,-2.55,-0.17
Mason Tipton,NO,WR,13,2025,621.0,-1.58,-0.12,-2.17,-0.17
Johnny Mundt,JAC,TE,15,2025,622.0,-1.58,-0.11,-2.55,-0.17
Trent Sherfield Sr.,ARI,WR,12,2025,623.0,-1.59,-0.13,-2.18,-0.18
Bo Melton,GB,WR,15,2025,624.0,-1.6,-0.11,-2.24,-0.15
Jack Bech,LV,WR,15,2025,625.0,-1.6,-0.11,-2.2,-0.15
Alex Bachman,LV,WR,12,2025,626.0,-1.61,-0.13,-2.2,-0.18
Jaylin Lane,WAS,WR,15,2025,627.0,-1.61,-0.11,-2.22,-0.15
Brevyn Spann-Ford,DAL,TE,16,2025,628.0,-1.63,-0.1,-2.65,-0.17
Dont'e Thornton Jr.,LV,WR,14,2025,629.0,-1.64,-0.12,-2.25,-0.16
Luke Schoonmaker,DAL,TE,16,2025,630.0,-1.65,-0.1,-2.67,-0.17
Mitch Tinsley,CIN,WR,16,2025,631.0,-1.67,-0.1,-2.33,-0.15
Cameron Latu,PHI,TE,14,2025,632.0,-1.67,-0.12,-2.6,-0.19
Teagan Quitoriano,ATL,TE,14,2025,632.0,-1.67,-0.12,-2.6,-0.19
Dee Eskridge,MIA,WR,13,2025,634.0,-1.69,-0.13,-2.31,-0.18
Tai Felton,MIN,WR,13,2025,635.0,-1.72,-0.13,-2.35,-0.18
Nick Westbrook-Ikhine,MIA,WR,14,2025,636.0,-1.74,-0.12,-2.37,-0.17
Adam Thielen,PIT,WR,15,2025,637.0,-1.76,-0.12,-2.42,-0.16
Ben Skowronek,PIT,WR,15,2025,638.0,-1.76,-0.12,-2.44,-0.16
Brycen Tremayne,CAR,WR,15,2025,639.0,-1.78,-0.12,-2.44,-0.16
Blake Whiteheart,CLE,TE,15,2025,640.0,-1.78,-0.12,-2.78,-0.19
Robert Tonyan,KC,TE,15,2025,641.0,-1.79,-0.12,-2.79,-0.19
Charlie Woerner,ATL,TE,16,2025,642.0,-1.8,-0.11,-2.85,-0.18
Jordan Whittington,LAR,WR,16,2025,643.0,-1.82,-0.11,-2.5,-0.16
Nikko Remigio,KC,WR,14,2025,644.0,-1.84,-0.13,-2.52,-0.18
Gunner Olszewski,NYG,WR,15,2025,645.0,-1.84,-0.12,-2.55,-0.17
Kameron Johnson,TB,WR,16,2025,646.0,-1.84,-0.12,-2.59,-0.16
